,대여소번호,자치구,Latitude,Longitude,LCD,QR,총거치대수
0,301,종로구,37.5753274,126.973307,16.0,0.0,16.0
1,302,종로구,37.5753274,126.973307,12.0,0.0,12.0
2,303,종로구,37.5692664,126.9981899,8.0,0.0,8.0
3,304,종로구,37.5740339,126.976775,0.0,7.0,7.0
4,305,종로구,37.5728109,126.9791251,16.0,0.0,16.0
5,306,종로구,37.5740339,126.976775,19.0,0.0,19.0
6,307,종로구,37.5700566,126.9705312,11.0,0.0,11.0
7,308,종로구,37.5697554,126.9739189,0.0,20.0,20.0
8,309,종로구,37.5740339,126.976775,13.0,0.0,13.0
9,314,종로구,37.5794412,126.9803508,10.0,0.0,10.0
10,316,종로구,37.5709397,126.9823973,12.0,0.0,12.0
11,326,종로구,37.5765727,126.9856224,19.0,0.0,19.0
12,327,종로구,37.5728323,126.9880012,10.0,0.0,10.0
13,328,종로구,37.5705544,126.9884101,11.0,0.0,11.0
14,329,종로구,37.568442,126.9879497,8.0,0.0,8.0
15,334,종로구,37.570436,126.992148,10.0,0.0,10.0
16,335,종로구,37.570436,126.992148,10.0,0.0,10.0
17,337,종로구,37.5802443,126.9946543,5.0,0.0,5.0
18,338,종로구,37.5717942,126.9970659,18.0,0.0,18.0
19,339,종로구,37.5710352,126.9984051,10.0,0.0,10.0
20,340,종로구,37.5855243,127.0005841,8.0,0.0,8.0
21,341,종로구,37.58217,127.001893,10.0,0.0,10.0
22,342,종로구,37.5804885,127.0024063,15.0,0.0,15.0
23,343,종로구,37.5752751,127.0046495,0.0,6.0,6.0
24,344,종로구,37.5739991,127.0067766,10.0,0.0,10.0
25,345,종로구,37.5736208,127.0008134,15.0,0.0,15.0
26,348,종로구,37.572027,126.9608546,14.0,0.0,14.0
27,349,종로구,37.5760163,126.9679914,7.0,0.0,7.0
28,351,종로구,37.5850296,126.9706002,8.0,0.0,8.0
29,352,종로구,37.5831162,126.9853157,15.0,0.0,15.0
30,353,종로구,37.5793439,126.9849344,8.0,0.0,8.0
31,354,종로구,37.5791151,126.988934,10.0,0.0,10.0
32,355,종로구,37.5764773,127.0024292,15.0,0.0,15.0
33,356,종로구,37.5771147,127.0015173,15.0,0.0,15.0
34,358,종로구,37.5824666,126.9985055,13.0,0.0,13.0
35,359,종로구,37.576025,126.9976522,8.0,0.0,8.0
36,361,종로구,37.573841,127.0157571,10.0,0.0,10.0
37,362,종로구,37.5721712,127.0226721,10.0,0.0,10.0
38,363,종로구,37.5756817,127.0227983,10.0,0.0,10.0
39,364,종로구,37.5778868,127.014797,8.0,0.0,8.0
40,367,종로구,37.5737784,126.958685,8.0,0.0,8.0
41,368,종로구,37.569155,126.9803319,12.0,0.0,12.0
42,369,종로구,37.5754319,126.9784894,20.0,0.0,20.0
43,385,종로구,37.5696641,126.9826377,10.0,0.0,10.0
44,388,종로구,37.5859317,127.0015649,10.0,0.0,10.0
45,393,종로구,37.5703848,127.009529,10.0,0.0,10.0
46,394,종로구,37.5687597,126.9661671,0.0,15.0,15.0
47,395,종로구,37.5707053,126.9644592,8.0,0.0,8.0
48,397,종로구,37.5706385,126.9998673,13.0,0.0,13.0
49,446,종로구,37.6001188,126.9559235,10.0,0.0,10.0
50,447,종로구,37.6041111,126.9616882,0.0,6.0,6.0
51,449,종로구,37.6053351,126.9668582,10.0,0.0,10.0
52,450,종로구,37.5823713,126.9730483,20.0,0.0,20.0
53,451,종로구,37.5815247,126.9804723,13.0,0.0,13.0
54,452,종로구,37.5711622,127.005543,13.0,0.0,13.0
55,453,종로구,37.5708657,127.0019064,10.0,0.0,10.0
56,454,종로구,37.5703786,126.9864009,13.0,0.0,13.0
57,455,종로구,37.5709063,127.0060728,8.0,0.0,8.0
58,456,종로구,37.5744842,127.0201796,10.0,0.0,10.0
59,457,종로구,37.5709385,127.0080806,10.0,0.0,10.0
60,458,종로구,37.571619,126.976754,21.0,0.0,21.0
61,461,종로구,37.5745254,126.9710142,10.0,0.0,10.0
62,462,종로구,37.6053351,126.9668582,15.0,0.0,15.0
63,464,종로구,37.5836042,126.9816079,10.0,0.0,10.0
64,465,종로구,37.5875114,126.9835305,5.0,0.0,5.0
65,486,종로구,37.6062745,126.9686811,5.0,0.0,5.0
66,3401,종로구,37.5741155,127.0143203,0.0,10.0,10.0
67,3402,종로구,37.5764307,127.0055635,0.0,10.0,10.0
68,3403,종로구,37.5700566,126.9705312,0.0,10.0,10.0
69,3404,종로구,37.5819607,127.0029516,0.0,15.0,15.0
70,3405,종로구,37.5736342,126.9732781,0.0,12.0,12.0
71,3406,종로구,37.5740403,126.9756386,0.0,20.0,20.0
72,3407,종로구,37.5758075,126.9836952,0.0,15.0,15.0
73,3408,종로구,37.5706603,126.9832162,0.0,13.0,13.0
74,3410,종로구,37.57248,126.9917916,0.0,10.0,10.0
75,3411,종로구,37.5729503,126.9793579,0.0,10.0,10.0
76,3412,종로구,37.5729503,126.9793579,0.0,15.0,15.0
77,3413,종로구,37.573255,126.9980436,0.0,15.0,15.0
78,3414,종로구,37.5711113,127.0023922,0.0,10.0,10.0
