자치구,대여횟수,반납횟수
강남구,24434.0,23891.0
강동구,25846.0,26223.0
강북구,16017.0,15927.0
강서구,74453.0,74538.0
관악구,27248.0,26555.0
광진구,37783.0,37938.0
구로구,31448.0,31569.0
금천구,13414.0,13358.0
노원구,41774.0,42023.0
도봉구,16542.0,16378.0
동대문구,33083.0,33359.0
동작구,18785.0,19189.0
마포구,47761.0,49408.0
서대문구,22866.0,21474.0
서초구,29127.0,29089.0
성동구,37225.0,38136.0
성북구,25747.0,25259.0
송파구,54479.0,54888.0
양천구,43089.0,43471.0
영등포구,63882.0,63771.0
용산구,17310.0,17425.0
은평구,25272.0,25528.0
종로구,34953.0,34183.0
중구,20067.0,19258.0
중랑구,22645.0,22685.0
